PropertyClass,ZoningCategory,RoadAccessLength,LandArea,RoadType,PlotShape,LandElevation,UtilityAccess,PlotConfiguration,LandSlope,District,NearbyTransport1,NearbyTransport2,PropertyType,HotelStyle,RoofDesign,RoofMaterial,ExteriorPrimary,ExteriorSecondary,FacadeArea,ExteriorQuality,ExteriorCondition,FoundationType,BasementHeight,BasementCondition,BasementExposure,BasementFacilityType1,BasementFacilityType2,BasementUnfinishedSF,BasementTotalSF,HeatingType,HeatingQuality,CentralAC,ElectricalSystem,LowQualityArea,UsableArea,GuestRooms,Kitchens,KitchenQuality,TotalRooms,PropertyFunctionality,Lounges,ParkingType,ParkingConstructionYear,ParkingFinish,ParkingCapacity,ParkingQuality,ParkingCondition,DrivewayType,SwimmingPoolArea,ExtraFacilityValue,MonthSold,YearSold,DealType,DealCondition,HotelValue,TotalOutdoorArea,TotalSF,TotalBaths,OverallScore,Age,YearsSinceRemodel,Qual_x_GroundSF
20,RL,110.0,14226,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,375.0,Gd,TA,PConc,Gd,TA,Av,Unf,Unf,1935,1935,GasA,Gd,Y,SBrkr,0,1973,3,1,Gd,9,Typ,1,Attchd,2006.0,Fin,3,TA,TA,Y,0,0,7,2007,New,Partial,395000.0,360,3228,2.0,6.5,1,1,15784
20,RL,70.0,11250,Pave,IR1,Lvl,AllPub,Inside,Gtl,Veenker,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,0.0,Gd,TA,CBlock,Gd,TA,No,ALQ,Unf,441,1208,GasA,TA,Y,SBrkr,0,1208,3,1,TA,6,Typ,1,Attchd,1977.0,RFn,2,TA,TA,Y,0,0,6,2006,WD,Normal,165000.0,240,1994,2.5,6.0,29,29,7248
20,RL,75.0,10650,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,0.0,TA,TA,CBlock,TA,Gd,Av,LwQ,ALQ,0,894,GasA,TA,Y,SBrkr,0,894,3,1,TA,5,Typ,0,Attchd,1976.0,Unf,1,TA,TA,Y,0,0,2,2010,WD,Normal,128200.0,365,1567,2.0,5.5,34,34,4470
80,RL,70.0,12800,Pave,Reg,Low,AllPub,Inside,Mod,SawyerW,Norm,Norm,1Fam,SLvl,Gable,CompShg,Wd Sdng,Wd Sdng,145.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,Unf,0,1518,GasA,Gd,Y,SBrkr,0,1644,2,1,Gd,5,Typ,1,Attchd,1989.0,Fin,2,TA,TA,Y,0,0,8,2009,WD,Normal,275000.0,476,2689,3.5,6.0,20,20,11508
20,RL,79.0,9416,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,Hip,CompShg,CemntBd,CmentBd,205.0,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,600,1726,GasA,Ex,Y,SBrkr,0,1726,3,1,Ex,8,Typ,1,Attchd,2007.0,Fin,3,TA,TA,Y,0,0,9,2007,New,Partial,311872.0,575,3087,3.0,6.0,0,0,12082
60,RL,86.0,14598,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Somerst,Feedr,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,74.0,Gd,TA,PConc,Gd,TA,Mn,Unf,Unf,894,894,GasA,Ex,Y,SBrkr,0,1933,4,1,Gd,9,Typ,1,BuiltIn,2007.0,Fin,3,TA,TA,Y,0,0,1,2008,WD,Normal,214000.0,118,2719,2.5,5.5,1,1,5364
120,RM,32.0,4500,Pave,Reg,Lvl,AllPub,FR2,Gtl,Mitchel,Norm,Norm,TwnhsE,1Story,Hip,CompShg,VinylSd,VinylSd,443.0,TA,Gd,PConc,Ex,Gd,No,GLQ,Unf,36,1237,GasA,Ex,Y,SBrkr,0,1337,2,1,TA,5,Typ,0,Attchd,1998.0,Fin,2,TA,TA,Y,0,0,3,2006,WD,Normal,153500.0,199,1941,3.0,5.5,8,8,8022
120,RM,70.0,4435,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,Gable,CompShg,VinylSd,VinylSd,170.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,163,848,GasA,Ex,Y,SBrkr,0,848,1,1,Gd,4,Typ,0,Attchd,2003.0,Fin,2,TA,TA,Y,0,0,6,2009,WD,Normal,144000.0,140,1408,2.0,5.5,6,5,5088
20,RL,60.0,10434,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,0.0,TA,TA,CBlock,TA,TA,No,Unf,Unf,1005,1005,GasA,TA,Y,SBrkr,0,1005,2,1,Fa,5,Typ,1,Detchd,1977.0,Unf,2,Fa,Fa,Y,0,0,11,2009,WD,Normal,115000.0,0,1677,1.0,4.5,54,54,4020
80,RL,70.0,7750,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,PConc,Gd,TA,No,GLQ,Unf,134,384,GasA,Ex,Y,SBrkr,0,1430,3,1,TA,7,Typ,1,BuiltIn,2000.0,Fin,2,TA,TA,Y,0,0,4,2010,WD,Normal,180000.0,180,2010,2.5,6.0,10,10,5418
20,RL,107.0,13891,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,0.0,Ex,TA,PConc,Ex,Gd,Gd,GLQ,Unf,690,2076,GasA,Ex,Y,SBrkr,0,2076,2,1,Ex,7,Typ,1,Attchd,2006.0,Fin,3,TA,TA,Y,0,0,9,2006,New,Partial,465000.0,445,3371,3.5,7.5,0,0,20760
120,RL,41.0,5395,Pave,IR1,HLS,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,Gable,CompShg,HdBoard,HdBoard,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,604,1337,GasA,Gd,Y,SBrkr,0,1337,2,1,Gd,5,Typ,1,Attchd,1993.0,RFn,2,TA,TA,Y,0,0,10,2008,WD,Normal,180000.0,166,1965,3.0,6.5,15,15,10696
60,RL,75.0,9675,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,Unf,772,1113,GasA,Ex,Y,SBrkr,0,1971,3,1,Gd,8,Typ,1,Attchd,2005.0,RFn,2,TA,TA,Y,0,0,2,2009,WD,Normal,253000.0,48,2708,2.5,6.0,4,4,7791
160,RM,36.0,2592,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,Gable,CompShg,CemntBd,CmentBd,0.0,TA,TA,CBlock,Gd,TA,No,Rec,BLQ,175,536,GasA,TA,Y,SBrkr,0,1112,3,1,TA,4,Typ,0,Attchd,1976.0,Unf,1,TA,TA,Y,0,0,4,2010,WD,Normal,85000.0,182,1630,1.5,4.0,34,34,2680
90,RL,70.0,9842,Pave,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,Duplex,1Story,Gable,CompShg,HdBoard,HdBoard,0.0,TA,TA,Slab,None,None,None,None,None,0,0,GasA,TA,Y,SBrkr,0,1224,2,2,TA,6,Typ,0,CarPort,1962.0,Unf,2,TA,TA,Y,0,0,3,2007,WD,Normal,101800.0,0,1686,2.0,4.5,45,45,4896
20,RL,70.0,8750,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,MetalSd,MetalSd,76.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,174,1002,GasA,TA,Y,SBrkr,0,1002,3,1,TA,5,Typ,0,Detchd,1973.0,Unf,2,TA,TA,Y,0,0,8,2009,WD,Normal,148500.0,0,1904,2.0,5.5,39,39,5010
160,RM,24.0,2522,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Twnhs,2Story,Gable,CompShg,VinylSd,VinylSd,50.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,970,970,GasA,Ex,Y,SBrkr,0,1709,3,1,Gd,7,Maj1,0,Detchd,2004.0,Unf,2,TA,TA,Y,0,0,4,2006,WD,Normal,137500.0,40,2129,2.0,6.0,2,2,6790
120,RL,68.0,7820,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,Hip,CompShg,MetalSd,MetalSd,362.0,Ex,TA,PConc,Ex,TA,No,Unf,Unf,1869,1869,GasA,Ex,Y,SBrkr,0,1869,2,1,Ex,6,Typ,1,Attchd,2007.0,RFn,2,TA,TA,Y,0,0,12,2007,New,Partial,318061.0,264,2750,2.0,7.0,0,0,16821
